property_type,sector,price,bedRoom,bathroom,agePossession,built_up_area,servant room,furnishing_type,luxury_category
0,sector 89,1.7,3.0,3.0,under construction,1944.0,0.0,0.0,1
0,sector 14,4.26,4.0,4.0,old,3250.0,0.0,0.0,0
1,sector 70a,5.25,5.0,4.0,new,2610.0,1.0,1.0,0
0,sector 71,0.82,2.0,2.0,old,1086.0,0.0,0.0,0
0,sector 89,1.1,2.0,2.0,new,1226.0,0.0,0.0,1
0,sector 81,4.2,4.0,4.0,new,3512.0,1.0,1.0,1
0,sector 69,1.55,3.0,3.0,new,1428.0,0.0,1.0,2
0,sector 92,0.39,3.0,3.0,new,713.0,0.0,0.0,1
1,sector 25,10.5,4.0,4.0,old,3618.0,1.0,1.0,1
0,sector 37d,0.9,3.0,3.0,new,1185.0,0.0,2.0,0
0,sector 22,3.99,3.0,5.0,new,2796.0,1.0,2.0,1
0,sector 102,1.98,3.0,3.0,new,2222.0,1.0,1.0,1
0,sector 92,0.21,1.0,1.0,new,336.0,0.0,0.0,1
1,sector 7,2.25,5.0,3.0,old,148.0,0.0,0.0,0
1,sector 43,3.35,1.0,1.0,old,1242.0,0.0,0.0,0
0,sector 37d,0.65,2.0,2.0,new,625.0,0.0,0.0,0
1,sector 109,5.65,4.0,4.0,new,5400.0,1.0,1.0,0
0,sector 82,1.16,3.0,3.0,new,1844.0,1.0,1.0,2
1,sector 24,1.6,8.0,5.0,old,540.0,0.0,0.0,0
0,sector 102,1.6,2.0,2.0,old,1368.0,0.0,0.0,0
1,sector 26,15.0,5.0,6.0,old,4518.0,1.0,1.0,1
0,sector 65,2.3,3.0,4.0,new,1833.0,1.0,2.0,2
0,sector 79,1.0,2.0,2.0,new,1700.0,0.0,0.0,0
1,sector 27,8.0,9.0,9.0,new,3042.0,1.0,2.0,1
0,sector 81,0.95,2.0,2.0,new,1260.0,0.0,1.0,2
0,sector 61,2.24,3.0,3.0,new,1402.0,0.0,0.0,1
0,sector 92,0.9,4.0,5.0,new,1692.0,1.0,0.0,1
0,sector 102,1.42,3.0,3.0,new,1315.0,1.0,0.0,1
0,sector 3,1.25,2.0,2.0,under construction,1161.0,0.0,0.0,0
1,sector 4,4.75,5.0,5.0,old,5067.0,1.0,1.0,0
0,sector 81,4.4,4.0,4.0,new,3700.0,1.0,2.0,0
0,sector 84,1.35,3.0,3.0,new,1750.0,0.0,0.0,1
0,sector 63a,1.65,2.0,2.0,under construction,978.0,0.0,0.0,0
0,sector 108,0.7,2.0,2.0,old,1720.0,0.0,1.0,0
0,sector 99a,0.35,2.0,2.0,new,606.0,0.0,0.0,1
0,sector 65,5.2,3.0,3.0,new,2696.0,1.0,1.0,1
0,sector 113,2.7,3.0,4.0,new,2217.0,1.0,1.0,0
1,sector 105,0.35,2.0,2.0,old,556.0,0.0,0.0,0
0,sector 86,1.5,3.0,3.0,new,1780.0,0.0,0.0,2
0,sector 111,2.25,3.0,3.0,new,1538.0,0.0,0.0,1
1,sector 26,17.0,5.0,5.0,new,4518.0,1.0,1.0,1
0,sector 36,0.72,3.0,2.0,under construction,978.0,0.0,0.0,0
0,sohna road,0.95,3.0,2.0,new,1210.723472,0.0,0.0,0
1,sector 50,11.95,3.0,3.0,old,3240.0,1.0,0.0,1
1,sector 14,4.5,5.0,5.0,new,2778.0,0.0,0.0,0
1,sector 66,18.0,5.0,6.0,new,4500.0,1.0,2.0,2
0,sector 69,1.38,3.0,3.0,new,1392.0,0.0,0.0,1
0,sector 1,0.85,3.0,3.0,new,2081.0,1.0,0.0,0
0,sector 102,1.76,3.0,3.0,new,1531.0,0.0,0.0,1
0,sector 33,2.96,4.0,4.0,new,2371.0,1.0,1.0,0
0,sector 102,1.42,2.0,2.0,new,1368.0,0.0,0.0,0
0,sector 104,1.35,4.0,5.0,new,2991.0,1.0,0.0,1
0,sector 68,1.85,3.0,3.0,under construction,1798.0,0.0,0.0,0
0,sector 90,1.26,3.0,3.0,new,1603.0,0.0,1.0,0
0,sector 89,1.33,3.0,3.0,under construction,1423.0,0.0,0.0,1
0,sector 95,0.32,2.0,2.0,new,610.0,0.0,1.0,1
0,sector 3 phase 2,0.28,2.0,2.0,new,600.0,0.0,0.0,1
0,sector 69,1.29,3.0,3.0,new,1419.0,0.0,1.0,1
0,sector 85,1.87,3.0,4.0,new,2225.0,0.0,0.0,0
1,sector 12,3.5,8.0,8.0,new,4800.0,1.0,2.0,1
0,sector 67,3.4,3.0,4.0,new,2123.0,1.0,1.0,1
0,sector 92,0.87,4.0,4.0,old,1584.0,0.0,2.0,1
0,sector 112,4.25,3.0,5.0,new,3000.0,1.0,0.0,1
0,sector 61,1.57,2.0,2.0,new,1150.0,0.0,0.0,1
0,sector 79,1.55,3.0,4.0,new,1416.0,1.0,1.0,2
0,sector 92,0.72,3.0,3.0,new,1700.0,1.0,0.0,0
0,sector 56,1.39,3.0,3.0,old,1738.0,0.0,1.0,1
0,sector 73,0.9,3.0,3.0,under construction,1622.0,1.0,0.0,1
0,sector 84,0.85,2.0,2.0,new,1158.0,0.0,1.0,0
0,sector 70,1.5,3.0,5.0,new,1527.0,1.0,1.0,2
0,sector 88a,1.15,2.0,2.0,new,120.0,0.0,0.0,1
0,sohna road,1.2,3.0,3.0,new,1780.0,0.0,0.0,1
0,sector 74,1.5,2.0,2.0,new,1300.0,0.0,0.0,2
0,sohna road,0.28,1.0,1.0,new,443.0,0.0,2.0,0
0,sector 85,2.2,4.0,5.0,new,2545.0,0.0,0.0,1
0,sector 103,1.12,3.0,4.0,new,1734.0,1.0,0.0,0
0,sector 102,2.2,3.0,4.0,old,1945.0,1.0,0.0,1
0,sector 79,1.91,3.0,4.0,new,2031.0,1.0,0.0,2
1,sector 9,1.25,3.0,6.0,old,1431.0,0.0,0.0,0
0,sector 28,0.9,4.0,2.0,old,1382.0,0.0,0.0,0
0,sector 37c,0.33,2.0,2.0,new,850.0,0.0,1.0,2
1,sector 14,6.46,5.0,5.0,old,3420.0,1.0,1.0,0
0,sector 33,2.5,3.0,3.0,under construction,2093.0,0.0,0.0,1
0,sector 110,3.25,4.0,4.0,new,3077.0,1.0,0.0,1
0,sector 37d,0.98,3.0,3.0,new,1675.0,0.0,0.0,2
1,sector 104,0.48,2.0,2.0,new,795.0,0.0,0.0,0
1,new sector 2,0.34,2.0,2.0,old,270.0,0.0,0.0,0
1,sector 57,3.65,6.0,6.0,old,3450.0,1.0,2.0,2
0,sohna road,0.46,2.0,2.0,new,800.0,0.0,2.0,1
1,sector 66,8.7,4.0,5.0,new,2250.0,1.0,0.0,1
0,sector 82,0.63,2.0,2.0,new,1026.0,0.0,0.0,1
0,sector 3,1.2,2.0,2.0,under construction,1307.0,0.0,0.0,1
0,sector 89,1.85,3.0,3.0,new,1946.0,1.0,0.0,0
1,sector 92,2.75,4.0,4.0,new,5000.0,0.0,0.0,0
0,sector 49,2.35,3.0,3.0,new,2030.0,0.0,0.0,0
0,sector 72,3.19,4.0,5.0,new,2376.0,1.0,1.0,2
0,sector 81,0.39,2.0,2.0,new,667.0,0.0,0.0,0
0,sector 70,1.23,2.0,2.0,new,1222.0,0.0,0.0,0
0,sector 90,1.8,4.0,4.0,old,2468.0,0.0,0.0,1
0,sector 113,1.38,2.0,2.0,new,1350.0,0.0,0.0,2
0,sector 71,1.15,3.0,3.0,old,1541.0,1.0,1.0,1
0,sector 90,0.75,2.0,2.0,new,1444.0,0.0,0.0,1
1,sector 26,7.0,5.0,5.0,new,1783.0,1.0,0.0,0
1,sector 50,11.58,5.0,5.0,old,3240.0,1.0,0.0,0
0,sector 65,2.8,4.0,4.0,new,1650.0,0.0,1.0,1
0,sector 81,2.25,3.0,4.0,new,2300.0,1.0,1.0,1
